City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
479,Gardez,AF,69.87,few clouds,33.5974,69.2259,Gardezi Home
484,Lasa,IT,67.08,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
485,Oktyabrskiy,RU,63.73,scattered clouds,54.4815,53.471,Гостиница Октябрьская
487,Barcelos,PT,67.91,scattered clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
488,Sinnamary,GF,78.49,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
489,Daru,PG,76.26,overcast clouds,-9.0763,143.2092,Daru Lodge
490,Pokhara,NP,72.01,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
492,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
498,Nemuro,JP,62.02,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
500,Saint-Francois,FR,62.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
506,Tanete,ID,74.71,broken clouds,-3.9443,119.7848,Wisma Tri Multi
507,Turukhansk,RU,60.67,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
509,Kisangani,CD,69.71,light rain,0.5167,25.2,Grand Ramela Hotel
510,Pacific Grove,US,77.23,clear sky,36.6177,-121.9166,Lovers Point Inn
512,Fare,PF,78.96,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
513,La Peca,PE,75.31,light rain,-5.6111,-78.435,Hospedaje San Miguelito
514,Atikokan,CA,64.76,overcast clouds,48.7555,-91.6216,Quetico Inn (formerly Radisson)
515,Mingaora,PK,74.93,overcast clouds,34.7758,72.3625,Burj Al Swat
516,Bandarbeyla,SO,76.51,clear sky,9.4942,50.8122,JABIR HOTEL
520,Odweyne,SO,75.45,scattered clouds,9.4092,45.064,Eng Hiirey House
521,Verkhnetulomskiy,RU,60.93,clear sky,68.6073,31.7962,Отель Уют
523,Sijunjung,ID,69.93,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
524,Bambanglipuro,ID,73.15,overcast clouds,-7.95,110.2833,Puri Brata
527,Shihezi,CN,76.84,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
528,Tocopilla,CL,63.54,overcast clouds,-22.092,-70.1979,Hotel Galvarino
532,Cabatuan,PH,76.78,broken clouds,10.8794,122.486,MVC Transient Room
536,Nileshwar,IN,77.65,broken clouds,12.25,75.1,Neeleshwar Hermitage
539,Mitzic,GA,68.32,broken clouds,0.7821,11.549,Motel Emys
541,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
543,Ucluelet,CA,66.09,scattered clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
545,Sao Miguel Do Araguaia,BR,77.99,clear sky,-13.275,-50.1628,Hotel Executivo Palace
546,Goderich,CA,76.91,scattered clouds,43.7501,-81.7165,Harmony Inn
548,Port-Gentil,GA,75.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
552,Langsa,ID,74.16,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
