City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Soyo,AO,-6.1349,12.3689,69.98,90,45,8.28,scattered clouds
204,Jhawarian,PK,32.3614,72.6228,83.43,78,61,5.55,broken clouds
205,Souillac,MU,-20.5167,57.5167,68.38,83,75,8.05,broken clouds
206,Haikou,CN,20.0458,110.3417,79.43,88,60,5.21,broken clouds
207,Kodinsk,RU,58.6881,99.1844,57.07,92,100,2.04,overcast clouds
208,Gamba,GA,-2.65,10.0,69.67,89,45,5.97,scattered clouds
209,Mabay,PH,6.0577,124.4666,77.9,82,89,3.18,overcast clouds
210,Nikolskoye,RU,59.7035,30.7861,60.69,97,100,4.05,overcast clouds
211,Roma,US,43.2128,-75.4557,82.96,59,0,4.61,clear sky
212,Narsaq,GL,60.9167,-46.05,53.82,82,19,5.1,few clouds
213,Balikpapan,ID,-1.2675,116.8289,77.99,94,20,5.75,light rain
214,Guaraniacu,BR,-25.1008,-52.8781,61.59,77,62,0.36,broken clouds
215,Santa Maria,BR,-29.6842,-53.8069,68.09,88,100,3.36,overcast clouds
216,Progreso,MX,21.2833,-89.6667,75.31,74,51,17.22,broken clouds
217,Tvoroyri,FO,61.5556,-6.8111,52.47,93,93,14.97,overcast clouds
218,Derzhavinsk,KZ,51.1,66.3167,64.11,86,18,15.48,few clouds
219,Katsuura,JP,35.1333,140.3,80.33,87,100,11.27,overcast clouds
220,Bataipora,BR,-22.2953,-53.2711,75.58,34,3,2.53,clear sky
221,San Jeronimo,PE,-11.9472,-75.2829,60.69,40,51,8.01,broken clouds
222,Scarborough,GB,54.2797,-0.4044,60.37,84,100,8.01,overcast clouds
223,Brasilia,BR,-15.7797,-47.9297,70.72,43,0,6.91,clear sky
224,Wasilla,US,61.5814,-149.4394,68.4,47,0,5.99,clear sky
225,Autun,FR,46.95,4.3,58.57,60,24,3.42,few clouds
226,Turbo,CO,8.0937,-76.7269,79.9,87,72,8.41,broken clouds
227,Mangla,PK,31.8931,72.3817,85.91,73,95,7.07,overcast clouds
228,Ojinaga,MX,29.5667,-104.4167,98.42,32,0,6.91,clear sky
229,Ustka,PL,54.5805,16.8619,56.64,78,95,17.58,overcast clouds
230,Lokosovo,RU,61.1333,74.8167,52.3,82,96,6.2,overcast clouds
231,Staryy Nadym,RU,65.6118,72.6842,50.52,78,4,9.19,clear sky
232,Cayenne,GF,4.9333,-52.3333,78.1,1,0,0.0,clear sky
233,Beder,DK,56.0602,10.2118,55.15,85,1,10.47,clear sky
234,Saint-Louis,SN,16.3333,-15.0,84.43,64,59,21.83,broken clouds
235,Poplar Bluff,US,36.757,-90.3929,97.34,64,0,6.91,clear sky
236,Yulara,AU,-25.2406,130.9889,40.21,46,5,9.62,clear sky
237,Upernavik,GL,72.7868,-56.1549,40.17,85,100,2.86,overcast clouds
238,Airai,TL,-8.9266,125.4092,50.77,81,40,4.29,scattered clouds
239,Raypur,IN,22.4108,88.5094,82.36,86,84,5.64,broken clouds
240,La Cruz,MX,23.9167,-106.9,87.24,66,95,11.23,overcast clouds
241,Kiama,AU,-34.6833,150.8667,54.37,69,0,7.92,clear sky
242,Bangsund,NO,64.3968,11.3949,50.92,87,100,4.34,overcast clouds
243,Nurota,UZ,40.5614,65.6886,80.65,27,60,11.07,broken clouds
244,Yaring,TH,6.8662,101.3689,77.2,86,100,3.18,overcast clouds
245,Labuhan,ID,-6.8844,112.2051,75.51,88,54,5.57,broken clouds
246,Kamenka,RU,51.3223,42.7678,70.09,66,53,5.23,broken clouds
247,Kununurra,AU,-15.7667,128.7333,60.78,41,20,6.91,few clouds
248,Codrington,AU,-38.2667,141.9667,43.43,86,69,6.87,broken clouds
249,Ponta Do Sol,PT,32.6667,-17.1,72.72,81,0,7.49,clear sky
250,Alice Springs,AU,-23.7,133.8833,27.95,74,11,5.75,few clouds
251,Mareeba,AU,-17.0,145.4333,65.12,85,43,3.2,scattered clouds
252,Shache,CN,38.4167,77.2406,82.71,17,7,3.76,clear sky
253,Lagoa,PT,39.05,-27.9833,72.14,83,69,9.98,broken clouds
254,Camargo,MX,27.6667,-105.1667,91.63,27,33,8.86,scattered clouds
255,Porto Novo,BJ,6.4965,2.6036,74.89,91,100,9.42,light rain
256,Sibu,MY,2.3,111.8167,72.79,99,100,1.45,light rain
257,Los Llanos De Aridane,ES,28.6585,-17.9182,73.13,89,40,20.71,scattered clouds
258,Asau,RO,46.4333,26.4,65.32,85,5,2.75,light rain
